Repository, Dataset, Decision Function, Right at top1, Right, Wrong, Silent
pandas, RANDOM, SIMPLE_FORMULA, 7, 16, 82, 47
pandas, RANDOM, TIME, 10, 28, 77, 40
pandas, RANDOM, WEIGHT_NEW, 19, 43, 77, 25
pandas, RANDOM, WEIGHT_WITH_FILTER, 17, 43, 68, 34
pandas, RANDOM, WEIGHT_WITH_FILTER_TUNED, 27, 51, 69, 25
pandas, FULL, SIMPLE_FORMULA, 52, 103, 409, 150
pandas, FULL, TIME, 37, 92, 440, 130
pandas, FULL, WEIGHT_NEW, 64, 138, 275, 249
pandas, FULL, WEIGHT_WITH_FILTER, 75, 184, 410, 68
pandas, FULL, WEIGHT_WITH_FILTER_TUNED, 116, 219, 385, 58
intellij-community, RANDOM, SIMPLE_FORMULA, 191, 326, 676, 358
intellij-community, RANDOM, TIME, 173, 295, 462, 603
intellij-community, RANDOM, WEIGHT_NEW, 266, 495, 690, 175
intellij-community, RANDOM, WEIGHT_WITH_FILTER, 144, 290, 331, 739
intellij-community, RANDOM, WEIGHT_WITH_FILTER_TUNED, 186, 307, 344, 709
intellij-community, FULL, SIMPLE_FORMULA, 732, 1288, 2852, 830
intellij-community, FULL, TIME, 732, 1199, 1908, 1863
intellij-community, FULL, WEIGHT_NEW, 777, 1527, 1963, 1480
intellij-community, FULL, WEIGHT_WITH_FILTER, 796, 1568, 1737, 1665
intellij-community, FULL, WEIGHT_WITH_FILTER_TUNED, 901, 1594, 1696, 1680
kotlin, RANDOM, SIMPLE_FORMULA, 92, 176, 336, 174
kotlin, RANDOM, TIME, 91, 144, 274, 268
kotlin, RANDOM, WEIGHT_NEW, 98, 212, 325, 149
kotlin, RANDOM, WEIGHT_WITH_FILTER, 102, 218, 261, 207
kotlin, RANDOM, WEIGHT_WITH_FILTER_TUNED, 147, 243, 243, 200
kotlin, FULL, SIMPLE_FORMULA, 476, 965, 1896, 484
kotlin, FULL, TIME, 506, 747, 1567, 1031
kotlin, FULL, WEIGHT_NEW, 339, 752, 1111, 1482
kotlin, FULL, WEIGHT_WITH_FILTER, 500, 1227, 1684, 434
kotlin, FULL, WEIGHT_WITH_FILTER_TUNED, 736, 1376, 1529, 440
intellij-rust, RANDOM, SIMPLE_FORMULA, 37, 74, 131, 40
intellij-rust, RANDOM, TIME, 30, 78, 109, 58
intellij-rust, RANDOM, WEIGHT_NEW, 54, 100, 102, 43
intellij-rust, RANDOM, WEIGHT_WITH_FILTER, 25, 65, 71, 109
intellij-rust, RANDOM, WEIGHT_WITH_FILTER_TUNED, 41, 85, 75, 85
intellij-rust, FULL, SIMPLE_FORMULA, 201, 374, 632, 94
intellij-rust, FULL, TIME, 118, 286, 584, 230
intellij-rust, FULL, WEIGHT_NEW, 155, 303, 314, 483
intellij-rust, FULL, WEIGHT_WITH_FILTER, 151, 364, 506, 230
intellij-rust, FULL, WEIGHT_WITH_FILTER_TUNED, 161, 423, 494, 183
